yas;yipranma;is_seyahati;gunluk_oran;departman;evden_uzaklik;egitim;egitim_alani;calisan_sayisi;calisan_no;cevre_memnuniyeti;cinsiyet;saatlik_ucret;is_katilimi;meslek_seviyesi;is_rolu;is_memnuniyeti;medeni_hal;aylik_gelir;aylik_oran;kidem;18_ustu;mesai;maas_zam_yuzde;performans_degerlendirmesi;iliski_memnuniyeti;standart_saatler;stok_opsiyon_seviyesi;toplam_calisma_yili;gecen_sene_egitim_sureleri;is_yasam_dengesi;sirkette_yil;mevcut_rolde_yil;son_promosyondan-buyana_gecen_yil;mevcut_yonetici_ile_yil
34;Hayir;Bazen;419;Arastirma Gelistirme;7;4;Fen;1;28;1;Kadin;53;3;3;Arastirma Direktoru;2;Bekar;11994;21293;0;Y;Hayir;11;3;3;80;0;13;4;3;12;6;2;11
21;Hayir;Bazen;391;Arastirma Gelistirme;15;2;Fen;1;30;3;Erkek;96;3;1;Arastirmaci;4;Bekar;1232;19281;1;Y;Hayir;14;3;4;80;0;0;6;3;0;0;0;0
34;Evet;Bazen;699;Arastirma Gelistirme;6;1;Tip;1;31;2;Erkek;83;3;1;Arastirmaci;1;Bekar;2960;17102;2;Y;Hayir;11;3;3;80;0;8;2;3;4;2;1;3
53;Hayir;Bazen;1282;Arastirma Gelistirme;5;3;Diger;1;32;3;Kadin;58;3;5;Yonetici;3;Bosanmis;19094;10735;4;Y;Hayir;11;3;4;80;1;26;3;2;14;13;4;8
32;Evet;Surekli;1125;Arastirma Gelistirme;16;1;Fen;1;33;2;Kadin;72;1;1;Arastirmaci;1;Bekar;3919;4681;1;Y;Evet;22;4;2;80;0;10;5;3;10;2;6;7
42;Hayir;Bazen;691;Satis;8;4;Pazarlama;1;35;3;Erkek;48;3;2;Satis Yoneticisi;2;Evli;6825;21173;0;Y;Hayir;11;3;4;80;1;10;2;3;9;7;4;2
44;Hayir;Bazen;477;Arastirma Gelistirme;7;4;Tip;1;36;1;Kadin;42;2;3;Saglik IsleriTemsilcisi;4;Evli;10248;2094;3;Y;Hayir;14;3;4;80;1;24;4;3;22;6;5;17
46;Hayir;Bazen;705;Satis;2;4;Pazarlama;1;38;2;Kadin;83;3;5;Yonetici;1;Bekar;18947;22822;3;Y;Hayir;12;3;4;80;0;22;2;2;2;2;2;1
33;Hayir;Bazen;924;Arastirma Gelistirme;2;3;Tip;1;39;3;Erkek;78;3;1;Lobarant;4;Bekar;2496;6670;4;Y;Hayir;11;3;4;80;0;7;3;3;1;1;0;0
44;Hayir;Bazen;1459;Arastirma Gelistirme;10;4;Diger;1;40;4;Erkek;41;3;2;Saglik IsleriTemsilcisi;4;Evli;6465;19121;2;Y;Evet;13;3;4;80;0;9;5;4;4;2;1;3
30;Hayir;Bazen;125;Arastirma Gelistirme;9;2;Tip;1;41;4;Erkek;83;2;1;Lobarant;3;Bekar;2206;16117;1;Y;Hayir;13;3;1;80;0;10;5;3;10;0;1;8
39;Evet;Bazen;895;Satis;5;3;Teknik;1;42;4;Erkek;56;3;2;Satis Temsilcisi;4;Evli;2086;3335;3;Y;Hayir;14;3;3;80;1;19;6;4;1;0;0;0
24;Evet;Bazen;813;Arastirma Gelistirme;1;3;Tip;1;45;2;Erkek;61;3;1;Arastirmaci;4;Evli;2293;3020;2;Y;Evet;16;3;1;80;1;6;2;2;2;0;2;0
43;Hayir;Bazen;1273;Arastirma Gelistirme;2;2;Tip;1;46;4;Kadin;72;4;1;Arastirmaci;3;Bosanmis;2645;21923;1;Y;Hayir;12;3;4;80;2;6;3;2;5;3;1;4
50;Evet;Bazen;869;Satis;3;2;Pazarlama;1;47;1;Erkek;86;2;1;Satis Temsilcisi;3;Evli;2683;3810;1;Y;Evet;14;3;3;80;0;3;2;3;3;2;0;2
35;Hayir;Bazen;890;Satis;2;3;Pazarlama;1;49;4;Kadin;97;3;1;Satis Temsilcisi;4;Evli;2014;9687;1;Y;Hayir;13;3;1;80;0;2;3;3;2;2;2;2
36;Hayir;Bazen;852;Arastirma Gelistirme;5;4;Fen;1;51;2;Kadin;82;2;1;Arastirmaci;1;Evli;3419;13072;9;Y;Evet;14;3;4;80;1;6;3;4;1;1;0;0
33;Hayir;Surekli;1141;Satis;1;3;Fen;1;52;3;Kadin;42;4;2;Satis Yoneticisi;1;Evli;5376;3193;2;Y;Hayir;19;3;1;80;2;10;3;3;5;3;1;3
35;Hayir;Bazen;464;Arastirma Gelistirme;4;2;Diger;1;53;3;Erkek;75;3;1;Lobarant;4;Bosanmis;1951;10910;1;Y;Hayir;12;3;3;80;1;1;3;3;1;0;0;0
27;Hayir;Bazen;1240;Arastirma Gelistirme;2;4;Fen;1;54;4;Kadin;33;3;1;Lobarant;1;Bosanmis;2341;19715;1;Y;Hayir;13;3;4;80;1;1;6;3;1;0;0;0
26;Evet;Bazen;1357;Arastirma Gelistirme;25;3;Fen;1;55;1;Erkek;48;1;1;Lobarant;3;Bekar;2293;10558;1;Y;Hayir;12;3;3;80;0;1;2;2;1;0;0;1
27;Hayir;Surekli;994;Satis;8;3;Fen;1;56;4;Erkek;37;3;3;Satis Yoneticisi;3;Bekar;8726;2975;1;Y;Hayir;15;3;4;80;0;9;0;3;9;8;1;7
30;Hayir;Surekli;721;Arastirma Gelistirme;1;2;Tip;1;57;3;Kadin;58;3;2;Lobarant;4;Bekar;4011;10781;1;Y;Hayir;23;4;4;80;0;12;2;3;12;8;3;7
41;Evet;Bazen;1360;Arastirma Gelistirme;12;3;Teknik;1;58;2;Kadin;49;3;5;Arastirma Direktoru;3;Evli;19545;16280;1;Y;Hayir;12;3;4;80;0;23;0;3;22;15;15;8
34;Hayir;Hic;1065;Satis;23;4;Pazarlama;1;60;2;Erkek;72;3;2;Satis Yoneticisi;3;Bekar;4568;10034;0;Y;Hayir;20;4;3;80;0;10;2;3;9;5;8;7
37;Hayir;Bazen;408;Arastirma Gelistirme;19;2;Fen;1;61;2;Erkek;73;3;1;Arastirmaci;2;Evli;3022;10227;4;Y;Hayir;21;4;1;80;0;8;1;3;1;0;0;0
46;Hayir;Surekli;1211;Satis;5;4;Pazarlama;1;62;1;Erkek;98;3;2;Satis Yoneticisi;4;Bekar;5772;20445;4;Y;Evet;21;4;3;80;0;14;4;3;9;6;0;8
35;Hayir;Bazen;1229;Arastirma Gelistirme;8;1;Fen;1;63;4;Erkek;36;4;1;Lobarant;4;Evli;2269;4892;1;Y;Hayir;19;3;4;80;0;1;2;3;1;0;0;1
48;Evet;Bazen;626;Arastirma Gelistirme;1;2;Fen;1;64;1;Erkek;98;2;3;Lobarant;3;Bekar;5381;19294;9;Y;Evet;13;3;4;80;0;23;2;3;1;0;0;0
28;Evet;Bazen;1434;Arastirma Gelistirme;5;4;Teknik;1;65;3;Erkek;50;3;1;Lobarant;3;Bekar;3441;11179;1;Y;Evet;13;3;3;80;0;2;3;2;2;2;2;2
44;Hayir;Bazen;1488;Satis;1;5;Pazarlama;1;68;2;Kadin;75;3;2;Satis Yoneticisi;1;Bosanmis;5454;4009;5;Y;Evet;21;4;3;80;1;9;2;2;4;3;1;3
35;Hayir;Hic;1097;Arastirma Gelistirme;11;2;Tip;1;70;3;Erkek;79;2;3;Saglik IsleriTemsilcisi;1;Evli;9884;8302;2;Y;Evet;13;3;3;80;1;10;3;3;4;0;2;3
26;Hayir;Bazen;1443;Satis;23;3;Pazarlama;1;72;3;Kadin;47;2;2;Satis Yoneticisi;4;Evli;4157;21436;7;Y;Evet;19;3;3;80;1;5;2;2;2;2;0;0
33;Hayir;Surekli;515;Arastirma Gelistirme;1;2;Fen;1;73;1;Kadin;98;3;3;Arastirma Direktoru;4;Bekar;13458;15146;1;Y;Evet;12;3;3;80;0;15;1;3;15;14;8;12
35;Hayir;Surekli;853;Satis;18;5;Fen;1;74;2;Erkek;71;3;3;Satis Yoneticisi;1;Evli;9069;11031;1;Y;Hayir;22;4;4;80;1;9;3;2;9;8;1;8
35;Hayir;Bazen;1142;Arastirma Gelistirme;23;4;Tip;1;75;3;Kadin;30;3;1;Lobarant;1;Evli;4014;16002;3;Y;Evet;15;3;3;80;1;4;3;3;2;2;2;2
31;Hayir;Bazen;655;Arastirma Gelistirme;7;4;Fen;1;76;4;Erkek;48;3;2;Lobarant;4;Bosanmis;5915;9528;3;Y;Hayir;22;4;4;80;1;10;3;2;7;7;1;7
37;Hayir;Bazen;1115;Arastirma Gelistirme;1;4;Fen;1;77;1;Erkek;51;2;2;Uretim Direktoru;3;Bosanmis;5993;2689;1;Y;Hayir;18;3;3;80;1;7;2;4;7;5;0;7
32;Hayir;Bazen;427;Arastirma Gelistirme;1;3;Tip;1;78;1;Erkek;33;3;2;Uretim Direktoru;4;Evli;6162;10877;1;Y;Evet;22;4;2;80;1;9;3;3;9;8;7;8
38;Hayir;Surekli;653;Arastirma Gelistirme;29;5;Fen;1;79;4;Kadin;50;3;2;Lobarant;4;Bekar;2406;5456;1;Y;Hayir;11;3;4;80;0;10;2;3;10;3;9;9
50;Hayir;Bazen;989;Arastirma Gelistirme;7;2;Tip;1;80;2;Kadin;43;2;5;Arastirma Direktoru;3;Bosanmis;18740;16701;5;Y;Evet;12;3;4;80;1;29;2;2;27;3;13;8
59;Hayir;Bazen;1435;Satis;25;3;Fen;1;81;1;Kadin;99;3;3;Satis Yoneticisi;1;Bekar;7637;2354;7;Y;Hayir;11;3;4;80;0;28;3;2;21;16;7;9
36;Hayir;Bazen;1223;Arastirma Gelistirme;8;3;Teknik;1;83;3;Kadin;59;3;3;Saglik IsleriTemsilcisi;3;Bosanmis;10096;8202;1;Y;Hayir;13;3;2;80;3;17;2;3;17;14;12;8
55;Hayir;Bazen;836;Arastirma Gelistirme;8;3;Tip;1;84;4;Kadin;33;3;4;Yonetici;3;Bosanmis;14756;19730;2;Y;Evet;14;3;3;80;3;21;2;3;5;0;0;2
36;Hayir;Surekli;1195;Arastirma Gelistirme;11;3;Fen;1;85;2;Erkek;95;2;2;Uretim Direktoru;2;Bekar;6499;22656;1;Y;Hayir;13;3;3;80;0;6;3;3;6;5;0;3
45;Hayir;Bazen;1339;Arastirma Gelistirme;7;3;Fen;1;86;2;Erkek;59;3;3;Arastirmaci;1;Bosanmis;9724;18787;2;Y;Hayir;17;3;3;80;1;25;2;3;1;0;0;0
35;Hayir;Surekli;664;Arastirma Gelistirme;1;3;Tip;1;88;2;Erkek;79;3;1;Arastirmaci;1;Evli;2194;5868;4;Y;Hayir;13;3;4;80;1;5;2;2;3;2;1;2
36;Evet;Bazen;318;Arastirma Gelistirme;9;3;Tip;1;90;4;Erkek;79;2;1;Arastirmaci;3;Evli;3388;21777;0;Y;Evet;17;3;1;80;1;2;0;2;1;0;0;0
59;Hayir;Surekli;1225;Satis;1;1;Fen;1;91;1;Kadin;57;2;2;Satis Yoneticisi;3;Bekar;5473;24668;7;Y;Hayir;11;3;4;80;0;20;2;2;4;3;1;3
29;Hayir;Bazen;1328;Arastirma Gelistirme;2;3;Fen;1;94;3;Erkek;76;3;1;Arastirmaci;2;Evli;2703;4956;0;Y;Hayir;23;4;4;80;1;6;3;3;5;4;0;4
31;Hayir;Bazen;1082;Arastirma Gelistirme;1;4;Tip;1;95;3;Erkek;87;3;1;Arastirmaci;2;Bekar;2501;18775;1;Y;Hayir;17;3;2;80;0;1;4;3;1;1;1;0
32;Hayir;Bazen;548;Arastirma Gelistirme;1;3;Fen;1;96;2;Erkek;66;3;2;Arastirmaci;2;Evli;6220;7346;1;Y;Hayir;17;3;2;80;2;10;3;3;10;4;0;9
36;Hayir;Bazen;132;Arastirma Gelistirme;6;3;Fen;1;97;2;Kadin;55;4;1;Lobarant;4;Evli;3038;22002;3;Y;Hayir;12;3;2;80;0;5;3;3;1;0;0;0
31;Hayir;Bazen;746;Arastirma Gelistirme;8;4;Fen;1;98;3;Kadin;61;3;2;Uretim Direktoru;4;Bekar;4424;20682;1;Y;Hayir;23;4;4;80;0;11;2;3;11;7;1;8
35;Hayir;Bazen;776;Satis;1;4;Pazarlama;1;100;3;Erkek;32;2;2;Satis Yoneticisi;1;Bekar;4312;23016;0;Y;Hayir;14;3;2;80;0;16;2;3;15;13;2;8
45;Hayir;Bazen;193;Arastirma Gelistirme;6;4;Diger;1;101;4;Erkek;52;3;3;Arastirma Direktoru;1;Evli;13245;15067;4;Y;Evet;14;3;2;80;0;17;3;4;0;0;0;0
37;Hayir;Bazen;397;Arastirma Gelistirme;7;4;Tip;1;102;1;Erkek;30;3;3;Arastirma Direktoru;3;Bekar;13664;25258;4;Y;Hayir;13;3;1;80;0;16;3;4;5;2;0;2
46;Hayir;Bazen;945;Insan Kaynaklari;5;2;Tip;1;103;2;Erkek;80;3;2;Insan Kaynaklari;2;Bosanmis;5021;10425;8;Y;Evet;22;4;4;80;1;16;2;3;4;2;0;2
30;Hayir;Bazen;852;Arastirma Gelistirme;1;1;Fen;1;104;4;Erkek;55;2;2;Lobarant;4;Evli;5126;15998;1;Y;Evet;12;3;3;80;2;10;1;2;10;8;3;0
35;Hayir;Bazen;1214;Arastirma Gelistirme;1;3;Tip;1;105;2;Erkek;30;2;1;Arastirmaci;3;Bekar;2859;26278;1;Y;Hayir;18;3;1;80;0;6;3;3;6;4;0;4
55;Hayir;Bazen;111;Satis;1;2;Fen;1;106;1;Erkek;70;3;3;Satis Yoneticisi;4;Evli;10239;18092;3;Y;Hayir;14;3;4;80;1;24;4;3;1;0;1;0
38;Hayir;Hic;573;Arastirma Gelistirme;6;3;Tip;1;107;2;Kadin;79;1;2;Arastirmaci;4;Bosanmis;5329;15717;7;Y;Evet;12;3;4;80;3;17;3;3;13;11;1;9
34;Hayir;Bazen;1153;Arastirma Gelistirme;1;2;Tip;1;110;1;Erkek;94;3;2;Uretim Direktoru;2;Evli;4325;17736;1;Y;Hayir;15;3;3;80;0;5;2;3;5;2;1;3
56;Hayir;Bazen;1400;Arastirma Gelistirme;7;3;Fen;1;112;4;Erkek;49;1;3;Uretim Direktoru;4;Bekar;7260;21698;4;Y;Hayir;11;3;1;80;0;37;3;2;6;4;0;2
23;Hayir;Bazen;541;Satis;2;1;Teknik;1;113;3;Erkek;62;3;1;Satis Temsilcisi;1;Bosanmis;2322;9518;3;Y;Hayir;13;3;3;80;1;3;3;3;0;0;0;0
51;Hayir;Bazen;432;Arastirma Gelistirme;9;4;Fen;1;116;4;Erkek;96;3;1;Lobarant;4;Evli;2075;18725;3;Y;Hayir;23;4;2;80;2;10;4;3;4;2;0;3
30;Hayir;Bazen;288;Arastirma Gelistirme;2;3;Fen;1;117;3;Erkek;99;2;2;Saglik IsleriTemsilcisi;4;Evli;4152;15830;1;Y;Hayir;19;3;1;80;3;11;3;3;11;10;10;8
46;Evet;Bazen;669;Satis;9;2;Tip;1;118;3;Erkek;64;2;3;Satis Yoneticisi;4;Bekar;9619;13596;1;Y;Hayir;16;3;4;80;0;9;3;3;9;8;4;7
40;Hayir;Surekli;530;Arastirma Gelistirme;1;4;Fen;1;119;3;Erkek;78;2;4;Saglik IsleriTemsilcisi;2;Evli;13503;14115;1;Y;Hayir;22;4;4;80;1;22;3;2;22;3;11;11
51;Hayir;Bazen;632;Satis;21;4;Pazarlama;1;120;3;Erkek;71;3;2;Satis Yoneticisi;4;Bekar;5441;8423;0;Y;Evet;22;4;4;80;0;11;2;1;10;7;1;0
30;Hayir;Bazen;1334;Satis;4;2;Tip;1;121;3;Kadin;63;2;2;Satis Yoneticisi;2;Bosanmis;5209;19760;1;Y;Evet;12;3;2;80;3;11;4;2;11;8;2;7
46;Hayir;Surekli;638;Arastirma Gelistirme;1;3;Tip;1;124;3;Erkek;40;2;3;Saglik IsleriTemsilcisi;1;Evli;10673;3142;2;Y;Evet;13;3;3;80;1;21;5;2;10;9;9;5
32;Hayir;Bazen;1093;Satis;6;4;Tip;1;125;2;Erkek;87;3;2;Satis Yoneticisi;3;Bekar;5010;24301;1;Y;Hayir;16;3;1;80;0;12;0;3;11;8;5;7
54;Hayir;Bazen;1217;Arastirma Gelistirme;2;4;Teknik;1;126;1;Kadin;60;3;3;Arastirma Direktoru;3;Evli;13549;24001;9;Y;Hayir;12;3;1;80;1;16;5;1;4;3;0;3
24;Hayir;Bazen;1353;Satis;3;2;Diger;1;128;1;Kadin;33;3;2;Satis Yoneticisi;3;Evli;4999;17519;0;Y;Hayir;21;4;1;80;1;4;2;2;3;2;0;2
28;Hayir;Hic;120;Satis;4;3;Tip;1;129;2;Erkek;43;3;2;Satis Yoneticisi;3;Evli;4221;8863;1;Y;Hayir;15;3;2;80;0;5;3;4;5;4;0;4
58;Hayir;Bazen;682;Satis;10;4;Tip;1;131;4;Erkek;37;3;4;Satis Yoneticisi;3;Bekar;13872;24409;0;Y;Hayir;13;3;3;80;0;38;1;2;37;10;1;8
44;Hayir;Hic;489;Arastirma Gelistirme;23;3;Tip;1;132;2;Erkek;67;3;2;Lobarant;2;Evli;2042;25043;4;Y;Hayir;12;3;3;80;1;17;3;4;3;2;1;2
37;Evet;Bazen;807;Insan Kaynaklari;6;4;Insan Kaynaklari;1;133;3;Erkek;63;3;1;Insan Kaynaklari;1;Bosanmis;2073;23648;4;Y;Evet;22;4;4;80;0;7;3;3;3;2;0;2
32;Hayir;Bazen;827;Arastirma Gelistirme;1;1;Fen;1;134;4;Erkek;71;3;1;Arastirmaci;1;Bekar;2956;15178;1;Y;Hayir;13;3;4;80;0;1;2;3;1;0;0;0
20;Evet;Surekli;871;Arastirma Gelistirme;6;3;Fen;1;137;4;Kadin;66;2;1;Lobarant;4;Bekar;2926;19783;1;Y;Evet;18;3;2;80;0;1;5;3;1;0;1;0
34;Hayir;Bazen;665;Arastirma Gelistirme;6;4;Diger;1;138;1;Kadin;41;3;2;Arastirmaci;3;Bekar;4809;12482;1;Y;Hayir;14;3;3;80;0;16;3;3;16;13;2;10
37;Hayir;Hic;1040;Arastirma Gelistirme;2;2;Fen;1;139;3;Erkek;100;2;2;Saglik IsleriTemsilcisi;4;Bosanmis;5163;15850;5;Y;Hayir;14;3;4;80;1;17;2;4;1;0;0;0
59;Hayir;Hic;1420;Insan Kaynaklari;2;4;Insan Kaynaklari;1;140;3;Kadin;32;2;5;Yonetici;4;Evli;18844;21922;9;Y;Hayir;21;4;4;80;1;30;3;3;3;2;2;2
50;Hayir;Surekli;1115;Arastirma Gelistirme;1;3;Fen;1;141;1;Kadin;73;3;5;Arastirma Direktoru;2;Evli;18172;9755;3;Y;Evet;19;3;1;80;0;28;1;2;8;3;0;7
25;Evet;Bazen;240;Satis;5;3;Pazarlama;1;142;3;Erkek;46;2;2;Satis Yoneticisi;3;Bekar;5744;26959;1;Y;Evet;11;3;4;80;0;6;1;3;6;4;0;3
25;Hayir;Bazen;1280;Arastirma Gelistirme;7;1;Tip;1;143;4;Erkek;64;2;1;Arastirmaci;4;Evli;2889;26897;1;Y;Hayir;11;3;3;80;2;2;2;3;2;2;2;1
22;Hayir;Bazen;534;Arastirma Gelistirme;15;3;Tip;1;144;2;Kadin;59;3;1;Lobarant;4;Bekar;2871;23785;1;Y;Hayir;15;3;3;80;0;1;5;3;0;0;0;0
51;Hayir;Surekli;1456;Arastirma Gelistirme;1;4;Tip;1;145;1;Kadin;30;2;3;Saglik IsleriTemsilcisi;1;Bekar;7484;25796;3;Y;Hayir;20;4;3;80;0;23;1;2;13;12;12;8
34;Evet;Surekli;658;Arastirma Gelistirme;7;3;Fen;1;147;1;Erkek;66;1;2;Lobarant;3;Bekar;6074;22887;1;Y;Evet;24;4;4;80;0;9;3;3;9;7;0;6
54;Hayir;Hic;142;Insan Kaynaklari;26;3;Insan Kaynaklari;1;148;4;Kadin;30;4;4;Yonetici;4;Bekar;17328;13871;2;Y;Evet;12;3;3;80;0;23;3;3;5;3;4;4
24;Hayir;Bazen;1127;Arastirma Gelistirme;18;1;Fen;1;150;2;Erkek;52;3;1;Lobarant;3;Evli;2774;13257;0;Y;Hayir;12;3;3;80;1;6;2;3;5;3;1;2
34;Hayir;Bazen;1031;Arastirma Gelistirme;6;4;Fen;1;151;3;Kadin;45;2;2;Arastirmaci;2;Bosanmis;4505;15000;6;Y;Hayir;15;3;3;80;1;12;3;3;1;0;0;0
37;Hayir;Bazen;1189;Satis;3;3;Fen;1;152;3;Erkek;87;3;3;Satis Yoneticisi;4;Bekar;7428;14506;2;Y;Hayir;12;3;1;80;0;12;3;3;5;3;1;3
34;Hayir;Bazen;1354;Arastirma Gelistirme;5;3;Tip;1;153;3;Kadin;45;2;3;Yonetici;1;Bekar;11631;5615;2;Y;Hayir;12;3;4;80;0;14;6;3;11;10;5;8
36;Hayir;Surekli;1467;Satis;11;2;Teknik;1;154;2;Kadin;92;3;3;Satis Yoneticisi;4;Evli;9738;22952;0;Y;Hayir;14;3;3;80;1;10;6;3;9;7;2;8
36;Hayir;Bazen;922;Arastirma Gelistirme;3;2;Fen;1;155;1;Kadin;39;3;1;Lobarant;4;Bosanmis;2835;2561;5;Y;Hayir;22;4;1;80;1;7;2;3;1;0;0;0
43;Hayir;Surekli;394;Satis;26;2;Fen;1;158;3;Erkek;92;3;4;Yonetici;4;Evli;16959;19494;1;Y;Evet;12;3;4;80;2;25;3;4;25;12;4;12
30;Hayir;Surekli;1312;Arastirma Gelistirme;23;3;Fen;1;159;1;Erkek;96;1;1;Arastirmaci;3;Bosanmis;2613;22310;1;Y;Hayir;25;4;3;80;3;10;2;2;10;7;0;9
33;Hayir;Hic;750;Satis;22;2;Pazarlama;1;160;3;Erkek;95;3;2;Satis Yoneticisi;2;Evli;6146;15480;0;Y;Hayir;13;3;1;80;1;8;2;4;7;7;0;7
56;Evet;Bazen;441;Arastirma Gelistirme;14;4;Fen;1;161;2;Kadin;72;3;1;Arastirmaci;2;Evli;4963;4510;9;Y;Evet;18;3;1;80;3;7;2;3;5;4;4;3
51;Hayir;Bazen;684;Arastirma Gelistirme;6;3;Fen;1;162;1;Erkek;51;3;5;Arastirma Direktoru;3;Bekar;19537;6462;7;Y;Hayir;13;3;3;80;0;23;5;3;20;18;15;15
31;Evet;Bazen;249;Satis;6;4;Fen;1;163;2;Erkek;76;1;2;Satis Yoneticisi;3;Evli;6172;20739;4;Y;Evet;18;3;2;80;0;12;3;2;7;7;7;7
26;Hayir;Bazen;841;Arastirma Gelistirme;6;3;Diger;1;164;3;Kadin;46;2;1;Arastirmaci;2;Evli;2368;23300;1;Y;Hayir;19;3;3;80;0;5;3;2;5;4;4;3
